id,package,repo_url,sfp_id,modified,published,vul_version,summary,details,severity,references
RUSTSEC-2020-0049,actix-codec,https://github.com/actix/actix-net,"['Memory Access', 'Memory Management']",2021-10-19 22:14:35+00:00,2020-01-30T12:00:00Z,"[('0', '0.3.0'), ('0.0.0-0', '0.3.0-beta.1')]","Use-after-free in actix-codec
Use-after-free in Framed due to lack of pinning
","An issue was discovered in the actix-codec crate before 0.3.0-beta.1 for Rust. There is a use-after-free in Framed.
Affected versions of this crate did not require the buffer wrapped in `Framed` to be pinned,
but treated it as if it had a fixed location in memory. This may result in a use-after-free.
 
The flaw was corrected by making the affected functions accept `Pin<&mut Self>` instead of `&mut self`.
",Critical,"['https://github.com/actix/actix-net', 'https://crates.io/crates/actix-codec', 'https://rustsec.org/advisories/RUSTSEC-2020-0049.html', 'https://github.com/actix/actix-net/issues/91', 'https://nvd.nist.gov/vuln/detail/CVE-2020-35902']"
RUSTSEC-2021-0081,actix-http,https://github.com/actix/actix-web.git,['Tainted Input'],2021-10-19 22:14:35+00:00,2021-06-16T12:00:00Z,"[('0', '2.2.1'), ('0.0.0-0', '2.2.1')]","HTTP Request Smuggling in actix-http
Potential request smuggling capabilities due to lack of input validation
","Affected versions of this crate did not properly detect invalid requests that could allow HTTP/1 request smuggling (HRS) attacks when running alongside a vulnerable front-end proxy server. This can result in leaked internal and/or user data, including credentials, when the front-end proxy is also vulnerable.

Popular front-end proxies and load balancers already mitigate HRS attacks so it is recommended that they are also kept up to date; check your specific set up. You should upgrade even if the front-end proxy receives exclusively HTTP/2 traffic and connects to the back-end using HTTP/1; several downgrade attacks are known that can also expose HRS vulnerabilities.
Affected versions of this crate did not properly detect invalid requests that could allow HTTP/1 request smuggling (HRS) attacks when running alongside a vulnerable front-end proxy server. This can result in leaked internal and/or user data, including credentials, when the front-end proxy is also vulnerable.

Popular front-end proxies and load balancers already mitigate HRS attacks so it is recommended that they are also kept up to date; check your specific set up. You should upgrade even if the front-end proxy receives exclusively HTTP/2 traffic and connects to the back-end using HTTP/1; several downgrade attacks are known that can also expose HRS vulnerabilities.
",High,"['https://rustsec.org/advisories/RUSTSEC-2021-0081.html', 'https://nvd.nist.gov/vuln/detail/CVE-2021-38512', 'https://github.com/actix/actix-web/pull/2363', 'https://lists.fedoraproject.org/archives/list/package-announce@lists.fedoraproject.org/message/67URRW4K47SR6LNQB4YALPLGGQMQK7HO/', 'https://github.com/actix/actix-web/commit/e965d8298f421e9c89fe98b1300b8361e948c324', 'https://crates.io/crates/actix-http', 'https://raw.githubusercontent.com/rustsec/advisory-db/main/crates/actix-http/RUSTSEC-2021-0081.md', 'https://github.com/actix/actix-web']"
RUSTSEC-2020-0048,actix-http,https://github.com/actix/actix-web.git,"['Memory Access', 'Memory Management']",2021-10-19 22:14:35+00:00,2020-01-24T12:00:00Z,"[('0', '2.0.0'), ('0.0.0-0', '2.0.0-alpha.1')]","Use-after-free in actix-http
Use-after-free in BodyStream due to lack of pinning
","An issue was discovered in the actix-http crate before 2.0.0-alpha.1 for Rust. There is a use-after-free in BodyStream.
Affected versions of this crate did not require the buffer wrapped in `BodyStream` to be pinned,
but treated it as if it had a fixed location in memory. This may result in a use-after-free.
 
The flaw was corrected by making the trait `MessageBody` require `Unpin`
and making `poll_next()` function accept `Pin<&mut Self>` instead of `&mut self`.
",High,"['https://github.com/actix/actix-web/issues/1321', 'https://rustsec.org/advisories/RUSTSEC-2020-0048.html', 'https://nvd.nist.gov/vuln/detail/CVE-2020-35901', 'https://crates.io/crates/actix-http', 'https://github.com/actix/actix-web']"
GHSA-whc7-5p35-4ww2,actix-service,https://github.com/actix/actix-net,"['Memory Access', 'Memory Management']",2021-08-19 20:54:21+00:00,2021-08-25T20:49:06Z,"[('0.0.0-0', '1.0.6'), ('0', '1.0.6')]","bespoke Cell implementation allows obtaining several mutable references to the same data
Use after free in actix-service
","The custom implementation of a Cell primitive in the affected versions of this crate
does not keep track of mutable references to the underlying data.

This allows obtaining several mutable references to the same object
which may result in arbitrary memory corruption, most likely use-after-free.

The flaw was corrected by switching from a bespoke `Cell<T>` implementation to `Rc<RefCell<T>>`.
An issue was discovered in the actix-service crate before 1.0.6 for Rust. The Cell implementation allows obtaining more than one mutable reference to the same data.
",Medium,"['https://github.com/actix/actix-net', 'https://rustsec.org/advisories/RUSTSEC-2020-0046.html', 'https://nvd.nist.gov/vuln/detail/CVE-2020-35899', 'https://crates.io/crates/actix-service', 'https://github.com/actix/actix-net/pull/158']"
GHSA-hhw2-pqhf-vmx2,actix-utils,https://github.com/actix/actix-net,"['Memory Access', 'Memory Management']",2021-08-19 20:53:53+00:00,2021-08-25T20:49:09Z,"[('0', '2.0.0'), ('0.0.0-0', '2.0.0')]","bespoke Cell implementation allows obtaining several mutable references to the same data
Use after free in actix-utils
","The custom implementation of a Cell primitive in the affected versions of this crate
does not keep track of mutable references to the underlying data.

This allows obtaining several mutable references to the same object
which may result in arbitrary memory corruption, most likely use-after-free.

The flaw was corrected by switching from a bespoke `Cell<T>` implementation to `Rc<RefCell<T>>`.
An issue was discovered in the actix-utils crate before 2.0.0 for Rust. The Cell implementation allows obtaining more than one mutable reference to the same data.
",Critical,"['https://github.com/actix/actix-net', 'https://rustsec.org/advisories/RUSTSEC-2020-0045.html', 'https://nvd.nist.gov/vuln/detail/CVE-2020-35898', 'https://crates.io/crates/actix-utils', 'https://github.com/actix/actix-net/issues/160']"
RUSTSEC-2018-0019,actix-web,https://github.com/actix/actix-web.git,"['Memory Access', 'Memory Management']",2021-08-22 01:18:11+00:00,2018-06-08T12:00:00Z,"[('0.0.0-0', '0.7.15'), ('0', '0.7.15')]","Out-of-bounds Write in actix-web
Out-of-bounds Write in actix-web
Out-of-bounds Write in actix-web
Multiple memory safety issues
","An issue was discovered in the actix-web crate before 0.7.15 for Rust. It can add the Send marker trait to an object that cannot be sent between threads safely, leading to memory corruption.
An issue was discovered in the actix-web crate before 0.7.15 for Rust. It can unsoundly extend the lifetime of a string, leading to memory corruption.
An issue was discovered in the actix-web crate before 0.7.15 for Rust. It can unsoundly coerce an immutable reference into a mutable reference, leading to memory corruption.
Affected versions contain multiple memory safety issues, such as:

 - Unsoundly coercing immutable references to mutable references
 - Unsoundly extending lifetimes of strings
 - Adding the `Send` marker trait to objects that cannot be safely sent between threads

This may result in a variety of memory corruption scenarios, most likely use-after-free.
 
A significant refactoring effort has been conducted to resolve these issues.
",Critical,"['https://raw.githubusercontent.com/rustsec/advisory-db/main/crates/actix-web/RUSTSEC-2018-0019.md', 'https://nvd.nist.gov/vuln/detail/CVE-2018-25025', 'https://nvd.nist.gov/vuln/detail/CVE-2018-25026', 'https://nvd.nist.gov/vuln/detail/CVE-2018-25024', 'https://github.com/actix/actix-web.git', 'https://github.com/actix/actix-web/issues/289', 'https://rustsec.org/advisories/RUSTSEC-2018-0019.html', 'https://crates.io/crates/actix-web']"
GHSA-w65j-g6c7-g3m4,actix-web,https://github.com/actix/actix-web.git,['Synchronization'],2021-08-24 19:13:30+00:00,2021-08-25T20:42:50Z,"[('0', '0.7.15')]","Multiple memory safety issues in actix-web
","Affected versions contain multiple memory safety issues, such as:

 - Unsoundly coercing immutable references to mutable references
 - Unsoundly extending lifetimes of strings
 - Adding the `Send` marker trait to objects that cannot be safely sent between threads

This may result in a variety of memory corruption scenarios, most likely use-after-free.
 
A signficant refactoring effort has been conducted to resolve these issues.

",nan,"['https://github.com/actix/actix-web', 'https://rustsec.org/advisories/RUSTSEC-2018-0019', 'https://github.com/actix/actix-web/issues/289']"
RUSTSEC-2021-0045,adtensor,https://github.com/charles-r-earp/adtensor,"['Exception Management', 'Memory Management']",2021-10-19 22:14:35+00:00,2021-01-11T12:00:00Z,"[('0.0.0-0', None), ('0', None)]","Free of uninitialized memory in adtensor
FromIterator implementation for Vector/Matrix can drop uninitialized memory
","An issue was discovered in the adtensor crate through 0.0.3 for Rust. There is a drop of uninitialized memory via the FromIterator implementation for Vector and Matrix.
The `FromIterator<T>` methods for `Vector` and `Matrix` rely on the type
parameter `N` to allocate space in the iterable.

If the passed in `N` type parameter is larger than the number of items returned
by the iterator, it can lead to uninitialized memory being left in the
`Vector` or `Matrix` type which gets dropped.
",Critical,"['https://github.com/charles-r-earp/adtensor', 'https://nvd.nist.gov/vuln/detail/CVE-2021-29936', 'https://crates.io/crates/adtensor', 'https://rustsec.org/advisories/RUSTSEC-2021-0045.html', 'https://github.com/charles-r-earp/adtensor/issues/4']"
RUSTSEC-2021-0061,aes-ctr,https://github.com/RustCrypto/block-ciphers/tree/master/aes,[],2021-05-04 01:28:43+00:00,2021-04-29T12:00:00Z,"[('0.0.0-0', None)]","`aes-ctr` has been merged into the `aes` crate
","Please use the `aes` crate going forward. The new repository location is at:

<https://github.com/RustCrypto/block-ciphers/tree/master/aes>

The `aes` crate now has an optional `ctr` feature which autodetects SIMD
features on `i686`/`x86-64` targets and uses them if available, or otherwise
falls back to the implementation in the `ctr` crate.

If you would prefer not to have this autodetection performed, use the `aes`
crate directly with the `ctr` crate.
",nan,"['https://crates.io/crates/aes-ctr', 'https://rustsec.org/advisories/RUSTSEC-2021-0061.html', 'https://github.com/RustCrypto/block-ciphers/pull/200']"
RUSTSEC-2021-0060,aes-soft,https://github.com/RustCrypto/block-ciphers/tree/master/aes,[],2021-05-04 01:28:43+00:00,2021-04-29T12:00:00Z,"[('0.0.0-0', None)]","`aes-soft` has been merged into the `aes` crate
","Please use the `aes` crate going forward. The new repository location is at:

<https://github.com/RustCrypto/block-ciphers/tree/master/aes>

AES-NI is now autodetected at runtime on `i686`/`x86-64` platforms.
If AES-NI is not present, the `aes` crate will fallback to a constant-time
portable software implementation.

To force the use of a constant-time portable implementation on these platforms,
even if AES-NI is available, use the new `force-soft` feature of the `aes`
crate to disable autodetection.
",nan,"['https://crates.io/crates/aes-soft', 'https://github.com/RustCrypto/block-ciphers/pull/200', 'https://rustsec.org/advisories/RUSTSEC-2021-0060.html']"
RUSTSEC-2021-0059,aesni,https://github.com/RustCrypto/block-ciphers/tree/master/aes,[],2021-05-04 01:28:43+00:00,2021-04-29T12:00:00Z,"[('0.0.0-0', None)]","`aesni` has been merged into the `aes` crate
","Please use the `aes` crate going forward. The new repository location is at:

<https://github.com/RustCrypto/block-ciphers/tree/master/aes>

AES-NI is now autodetected at runtime on `i686`/`x86-64` platforms.
If AES-NI is not present, the `aes` crate will fallback to a constant-time
portable software implementation.

To prevent this fallback (and have absence of AES-NI result in an illegal
instruction crash instead), continue to pass the same RUSTFLAGS which were
previously required for the `aesni` crate to compile:

```
RUSTFLAGS=-Ctarget-feature=+aes,+ssse3
```
",nan,"['https://rustsec.org/advisories/RUSTSEC-2021-0059.html', 'https://crates.io/crates/aesni', 'https://github.com/RustCrypto/block-ciphers/pull/200']"
GHSA-3227-r97m-8j95,afire,https://github.com/Basicprogrammer10/afire,['Path Resolution'],2022-04-22 20:16:45+00:00,2022-04-22T20:16:45Z,"[('0.2.1', '1.1.0')]","Relative Path Traversal in afire serve_static
","### Impact
This vulnerability effects the built-in afire serve_static extension allowing paths containing `//....` to bypass the previous path sanitation and request files in higher directories that should not be accessible.

### Patches
The issue has been fixed in [afire 1.1.0](https://crates.io/crates/afire/1.1.0).
If you can, just update to the newest version of afire.

### Workarounds
If you can't update afire you can simply disallow paths containing `/..` with the following middleware.
Make sure this is the last middleware added to the server so it runs first, stopping the bad requests.
```rust
use afire::prelude::*;

struct PathTraversalFix;

impl Middleware for PathTraversalFix {
    fn pre(&self, req: Request) -> MiddleRequest {
        if req.path.replace(""\\"", ""/"").contains(""/.."") {
            return MiddleRequest::Send(
                Response::new()
                    .status(400)
                    .text(""Paths containing `..` are not allowed""),
            );
        }

        MiddleRequest::Continue
    }
}
```
```rust
let mut server = Server::new(host, port);
PathTraversalFix.attach(&mut server);
```

### References
You can read about the new changes to afire in 1.1.0 [here](https://connorcode.com/writing/afire/update-3)

### For more information
If you have any questions or comments about this advisory you can email me or message me on discord.
[[https://connorcode.com/contact](https://connorcode.com/contact)]
",nan,"['https://github.com/Basicprogrammer10/afire/security/advisories/GHSA-3227-r97m-8j95', 'https://github.com/Basicprogrammer10/afire', 'https://github.com/Basicprogrammer10/afire/commit/da7904c04f82e1cb43cc42eaf6a1dba072b5c921', 'https://github.com/Basicprogrammer10/afire/releases/tag/v1.1.0']"
RUSTSEC-2020-0033,alg_ds,https://gitlab.com/dvshapkin/alg-ds,['Exception Management'],2021-10-19 22:14:35+00:00,2020-08-25T12:00:00Z,"[('0.0.0-0', None), ('0', None)]","Use of Uninitialized Resource in alg_ds
Matrix::new() drops uninitialized memory
","An issue was discovered in the alg_ds crate through 2020-08-25 for Rust. `Matrix::new()` internally calls `Matrix::fill_with()` which uses `*ptr = value` pattern to initialize the buffer. This pattern assumes that there is an initialized struct at the address and drops it, which results in dropping of uninitialized struct.
`Matrix::new()` internally calls `Matrix::fill_with()` which uses `*ptr = value` pattern to initialize the buffer.
This pattern assumes that there is an initialized struct at the address and drops it, which results in dropping of uninitialized struct.
",Critical,"['https://rustsec.org/advisories/RUSTSEC-2020-0033.html', 'https://crates.io/crates/alg_ds', 'https://gitlab.com/dvshapkin/alg-ds', 'https://nvd.nist.gov/vuln/detail/CVE-2020-36432', 'https://gitlab.com/dvshapkin/alg-ds/-/issues/1']"
RUSTSEC-2021-0053,algorithmica,https://github.com/AbrarNitk/algorithmica,['Memory Management'],2021-11-06 20:37:35+00:00,2021-03-07T12:00:00Z,"[('0.0.0-0', None), ('0', None)]","Double free in algorithmica
'merge_sort::merge()' crashes with double-free for `T: Drop`
","An issue was discovered in the algorithmica crate through 2021-03-07 for Rust. In the affected versions of this crate, `merge_sort::merge()` wildly duplicates and drops ownership of `T` without guarding against double-free. Due to such implementation, simply invoking `merge_sort::merge()` on `Vec<T: Drop>` can cause **double free** bugs.

In the affected versions of this crate, `merge_sort::merge()` wildly duplicates and drops ownership of `T` without guarding against double-free. Due to such implementation,
simply invoking `merge_sort::merge()` on `Vec<T: Drop>` can cause **double free** bugs.
",High,"['https://nvd.nist.gov/vuln/detail/CVE-2021-31996', 'https://rustsec.org/advisories/RUSTSEC-2021-0053.html', 'https://github.com/AbrarNitk/algorithmica/issues/1', 'https://crates.io/crates/algorithmica']"
RUSTSEC-2020-0032,alpm-rs,https://github.com/BahNahNah/rust-arch/tree/master/alpm-rs,['Memory Management'],2021-10-19 22:14:35+00:00,2020-08-20T12:00:00Z,"[('0.0.0-0', None), ('0', None)]","Double free in alpm-rs
StrcCtx deallocates a memory region that it doesn't own
","An issue was discovered in the alpm-rs crate through 2020-08-20 for Rust. StrcCtx performs improper memory deallocation.
`StrcCtx` deallocate a memory region that it doesn't own when `StrcCtx` is created without using `StrcCtx::new`.
This can introduce memory safety issues such as double-free and use-after-free to client programs.
",Critical,"['https://github.com/BahNahNah/rust-arch/tree/master/alpm-rs', 'https://nvd.nist.gov/vuln/detail/CVE-2020-35885', 'https://github.com/pigeonhands/rust-arch/issues/2', 'https://rustsec.org/advisories/RUSTSEC-2020-0032.html', 'https://crates.io/crates/alpm-rs']"
RUSTSEC-2021-0074,ammonia,https://github.com/rust-ammonia/ammonia,['Tainted Input'],2021-11-06 20:37:35+00:00,2021-07-08T12:00:00Z,"[('0.0.0-0', '2.1.3'), ('0', '2.1.3'), ('3.0.0', '3.1.0')]","Cross-site Scripting in ammonia
Incorrect handling of embedded SVG and MathML leads to mutation XSS
","An issue was discovered in the ammonia crate before 3.1.0 for Rust. XSS can occur because the parsing differences for HTML, SVG, and MathML are mishandled, a similar issue to CVE-2020-26870.
Affected versions of this crate did not account for namespace-related parsing
differences between HTML, SVG, and MathML. Even if the `svg` and `math` elements
are not allowed, the underlying HTML parser still treats them differently.
Running cleanup without accounting for these differing namespaces resulted in an ""impossible""
DOM, which appeared ""safe"" when examining the DOM tree, but when serialized and deserialized,
could be exploited to inject abitrary markup.

To exploit this, the application using this library must allow a tag that is parsed as raw text in HTML.
These [elements] are:

* title
* textarea
* xmp
* iframe
* noembed
* noframes
* plaintext
* noscript
* style
* script

Applications that do not explicitly allow any of these tags should not be affected, since none are allowed by default.

[elements]: https://github.com/servo/html5ever/blob/57eb334c0ffccc6f88d563419f0fbeef6ff5741c/html5ever/src/tree_builder/rules.rs
",Medium,"['https://nvd.nist.gov/vuln/detail/CVE-2021-38193', 'https://crates.io/crates/ammonia', 'https://rustsec.org/advisories/RUSTSEC-2021-0074.html', 'https://raw.githubusercontent.com/rustsec/advisory-db/main/crates/ammonia/RUSTSEC-2021-0074.md', 'https://github.com/rust-ammonia/ammonia', 'https://github.com/rust-ammonia/ammonia/pull/142']"
RUSTSEC-2022-0003,ammonia,https://github.com/rust-ammonia/ammonia,['Tainted Input'],2022-01-19 22:35:01+00:00,2022-01-19T12:00:00Z,"[('3.0.0', '3.1.3')]","Space bug in `clean_text`
","An incorrect mapping from HTML specification to ASCII codes was used.
Because HTML treats the Form Feed as whitespace, code like this has an injection bug:

    let html = format!(""<div title={}>"", clean_text(user_supplied_string));

Applications are not affected if they quote their attributes, or if they don't use `clean_text` at all.
",nan,"['https://crates.io/crates/ammonia', 'https://rustsec.org/advisories/RUSTSEC-2022-0003.html', 'https://github.com/rust-ammonia/ammonia/pull/147']"
RUSTSEC-2019-0001,ammonia,https://github.com/rust-ammonia/ammonia,['Resource Management'],2021-10-19 22:14:35+00:00,2019-04-27T12:00:00Z,"[('0.0.0-0', '2.1.0'), ('0', '2.1.0')]","Uncontrolled recursion in ammonia
Uncontrolled recursion leads to abort in HTML serialization
","An issue was discovered in the ammonia crate before 2.1.0 for Rust. There is uncontrolled recursion during HTML DOM tree serialization.
Affected versions of this crate did use recursion for serialization of HTML
DOM trees.

This allows an attacker to cause abort due to stack overflow by providing
a pathologically nested input.

The flaw was corrected by serializing the DOM tree iteratively instead.
",High,"['https://rustsec.org/advisories/RUSTSEC-2019-0001.html', 'https://crates.io/crates/ammonia', 'https://github.com/rust-ammonia/ammonia', 'https://nvd.nist.gov/vuln/detail/CVE-2019-15542', 'https://github.com/rust-ammonia/ammonia/blob/master/CHANGELOG.md#210']"
